time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,13,6,55,18
2025-08-25 00:00:00+00:00,16,6,30,11
2025-08-26 00:00:00+00:00,9,3,64,24
2025-08-27 00:00:00+00:00,12,5,43,20
2025-08-28 00:00:00+00:00,10,4,35,14
2025-08-29 00:00:00+00:00,12,4,67,25
2025-08-30 00:00:00+00:00,9,3,99,13
2025-08-31 00:00:00+00:00,11,5,44,15
2025-09-01 00:00:00+00:00,34,17,65,22
2025-09-02 00:00:00+00:00,15,6,89,28
2025-09-03 00:00:00+00:00,8,6,77,25
2025-09-04 00:00:00+00:00,4,4,44,22
2025-09-05 00:00:00+00:00,8,4,102,22
2025-09-06 00:00:00+00:00,2,2,49,12
