time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-19 00:00:00+00:00,5,5,96,17
2025-04-20 00:00:00+00:00,6,3,46,17
2025-04-21 00:00:00+00:00,17,11,324,31
2025-04-22 00:00:00+00:00,69,22,282,24
2025-04-23 00:00:00+00:00,10,6,229,27
2025-04-24 00:00:00+00:00,7,4,123,30
2025-04-25 00:00:00+00:00,111,31,227,30
2025-04-26 00:00:00+00:00,9,6,82,12
2025-04-27 00:00:00+00:00,7,3,58,14
2025-04-28 00:00:00+00:00,7,4,102,19
2025-04-29 00:00:00+00:00,4,4,48,18
2025-04-30 00:00:00+00:00,49,13,204,22
2025-05-01 00:00:00+00:00,21,7,130,21
2025-05-02 00:00:00+00:00,5,3,105,23
