time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-09 00:00:00+00:00,11,4,36,19
2025-06-10 00:00:00+00:00,11,4,24,13
2025-06-11 00:00:00+00:00,11,3,61,20
2025-06-12 00:00:00+00:00,41,10,59,26
2025-06-13 00:00:00+00:00,39,14,88,29
2025-06-14 00:00:00+00:00,21,5,69,14
2025-06-15 00:00:00+00:00,10,4,59,17
2025-06-16 00:00:00+00:00,58,11,68,22
2025-06-17 00:00:00+00:00,40,8,91,27
2025-06-18 00:00:00+00:00,26,10,101,24
2025-06-19 00:00:00+00:00,34,12,112,22
2025-06-20 00:00:00+00:00,32,10,117,27
2025-06-21 00:00:00+00:00,12,4,54,20
2025-06-22 00:00:00+00:00,2,1,53,17
