time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,27,21,97,24
2025-10-31 00:00:00+00:00,12,7,42,20
2025-11-01 00:00:00+00:00,28,8,34,9
2025-11-02 00:00:00+00:00,8,6,34,14
2025-11-03 00:00:00+00:00,17,8,42,27
2025-11-04 00:00:00+00:00,16,12,55,24
2025-11-05 00:00:00+00:00,10,7,111,20
2025-11-06 00:00:00+00:00,16,8,72,13
2025-11-07 00:00:00+00:00,9,8,136,26
2025-11-08 00:00:00+00:00,17,11,57,12
2025-11-09 00:00:00+00:00,3,3,69,19
2025-11-10 00:00:00+00:00,26,10,114,18
2025-11-11 00:00:00+00:00,9,8,61,36
2025-11-12 00:00:00+00:00,17,7,54,13
