time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,11,8,192,49
2026-03-30 00:00:00+00:00,388,18,146,49
2026-03-31 00:00:00+00:00,15,7,122,49
2026-04-01 00:00:00+00:00,43,19,260,67
2026-04-02 00:00:00+00:00,26,15,192,38
2026-04-03 00:00:00+00:00,12,9,25,9
2026-04-04 00:00:00+00:00,13,8,32,14
2026-04-05 00:00:00+00:00,10,5,44,16
2026-04-06 00:00:00+00:00,18,10,33,17
2026-04-07 00:00:00+00:00,20,12,29,14
2026-04-08 00:00:00+00:00,8,4,44,10
2026-04-09 00:00:00+00:00,20,10,29,16
2026-04-10 00:00:00+00:00,41,21,60,18
2026-04-11 00:00:00+00:00,5,5,39,13
