time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,21,12,50,12
2026-05-31 00:00:00+00:00,29,17,31,10
2026-06-01 00:00:00+00:00,16,7,105,12
2026-06-02 00:00:00+00:00,94,25,22,9
2026-06-03 00:00:00+00:00,13,8,6,6
2026-06-04 00:00:00+00:00,33,21,47,15
2026-06-05 00:00:00+00:00,35,17,19,11
2026-06-06 00:00:00+00:00,34,26,36,8
2026-06-07 00:00:00+00:00,20,10,22,9
2026-06-08 00:00:00+00:00,24,15,33,15
2026-06-09 00:00:00+00:00,21,12,52,12
2026-06-10 00:00:00+00:00,120,32,17,14
2026-06-11 00:00:00+00:00,72,16,35,7
2026-06-12 00:00:00+00:00,40,23,29,11
