time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,4,3,31,5
2025-03-24 00:00:00+00:00,16,8,172,16
2025-03-25 00:00:00+00:00,36,20,314,21
2025-03-26 00:00:00+00:00,14,8,169,20
2025-03-27 00:00:00+00:00,18,7,148,14
2025-03-28 00:00:00+00:00,10,5,52,14
2025-03-29 00:00:00+00:00,5,4,47,9
2025-03-30 00:00:00+00:00,3,3,50,17
2025-03-31 00:00:00+00:00,22,15,91,26
2025-04-01 00:00:00+00:00,37,18,189,22
2025-04-02 00:00:00+00:00,27,17,233,54
2025-04-03 00:00:00+00:00,65,30,357,43
2025-04-04 00:00:00+00:00,37,18,191,38
2025-04-05 00:00:00+00:00,3,3,62,21
