time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,11,3,15,10
2026-09-06 00:00:00+00:00,4,4,15,11
2026-09-07 00:00:00+00:00,1,1,22,11
2026-09-08 00:00:00+00:00,9,4,27,16
2026-09-09 00:00:00+00:00,6,6,35,11
2026-09-10 00:00:00+00:00,6,6,33,13
2026-09-11 00:00:00+00:00,6,5,13,7
2026-09-12 00:00:00+00:00,6,5,9,5
2026-09-13 00:00:00+00:00,3,3,17,7
2026-09-14 00:00:00+00:00,4,4,47,13
2026-09-15 00:00:00+00:00,10,7,70,14
2026-09-16 00:00:00+00:00,20,10,14,9
2026-09-17 00:00:00+00:00,2,2,26,15
2026-09-18 00:00:00+00:00,7,7,33,10
